Sample,Pathlength,Temperature,Absorbance
5,0.5,40.1,0.9326
5,0.5,40.6,0.9367
5,0.5,41.1,0.9404
5,0.5,41.6,0.9452
5,0.5,42.0,0.9493
5,0.5,42.6,0.9542
5,0.5,43.0,0.9591
5,0.5,43.5,0.9641
5,0.5,44.0,0.9692
5,0.5,44.5,0.975
5,0.5,45.0,0.981
5,0.5,45.5,0.9862
5,0.5,46.0,0.9923
5,0.5,46.5,0.9977
5,0.5,47.0,1.0047
5,0.5,47.5,1.0103
5,0.5,48.0,1.0167
5,0.5,48.5,1.0224
5,0.5,49.0,1.0282
5,0.5,49.5,1.0345
5,0.5,50.0,1.04
5,0.5,50.5,1.0456
5,0.5,50.9,1.0504
5,0.5,51.5,1.0557
5,0.5,52.0,1.061
5,0.5,52.4,1.0647
5,0.5,53.0,1.0683
5,0.5,53.4,1.072
5,0.5,54.0,1.0752
5,0.5,54.4,1.0784
5,0.5,55.0,1.0822
5,0.5,55.4,1.0846
5,0.5,55.9,1.0874
5,0.5,56.5,1.0908
5,0.5,56.9,1.0922
5,0.5,57.4,1.0946
5,0.5,57.9,1.097
5,0.5,58.4,1.0985
5,0.5,58.9,1.1
5,0.5,59.5,1.1015
5,0.5,59.9,1.1034
5,0.5,60.4,1.1049
5,0.5,60.9,1.1059
5,0.5,61.4,1.1074
5,0.5,61.9,1.1089
5,0.5,62.5,1.1094
5,0.5,62.8,1.1114
5,0.5,63.4,1.1119
5,0.5,63.9,1.1134
5,0.5,64.4,1.1145
5,0.5,64.9,1.1155
5,0.5,65.4,1.1165
5,0.5,65.9,1.118
5,0.5,66.3,1.118
5,0.5,66.8,1.1196
5,0.5,67.4,1.1206
5,0.5,67.9,1.1216
5,0.5,68.3,1.1232
5,0.5,68.8,1.1237
5,0.5,69.3,1.1247
5,0.5,69.9,1.1252
5,0.5,70.3,1.1263
5,0.5,70.8,1.1268
5,0.5,71.3,1.1284
5,0.5,71.9,1.1289
5,0.5,72.3,1.1305
5,0.5,72.8,1.1305
5,0.5,73.3,1.1321
5,0.5,73.8,1.1331
5,0.5,74.4,1.1342
5,0.5,74.7,1.1352
5,0.5,75.3,1.1358
5,0.5,75.7,1.1363
5,0.5,76.2,1.1374
5,0.5,76.9,1.1379
5,0.5,77.2,1.1384
5,0.5,77.8,1.139
5,0.5,78.2,1.1406
5,0.5,78.7,1.1411
5,0.5,79.2,1.1417
5,0.5,79.7,1.1417
5,0.5,80.3,1.1433
5,0.5,80.7,1.1438
5,0.5,81.2,1.1449
5,0.5,81.7,1.1455
5,0.5,82.2,1.1466
5,0.5,82.8,1.1477
5,0.5,83.2,1.1482
5,0.5,83.8,1.1493
5,0.5,84.2,1.1498
5,0.5,84.7,1.1498
5,0.5,85.1,1.1515
5,0.5,85.9,1.1509
5,0.5,86.1,1.1521
5,0.5,86.7,1.1532
5,0.5,87.2,1.1537
5,0.5,87.6,1.1548
5,0.5,88.2,1.1554
5,0.5,88.5,1.1554
5,0.5,89.1,1.1565
8,1.0,11.4,0.3222
8,1.0,11.5,0.3222
8,1.0,12.0,0.3223
8,1.0,13.5,0.3226
8,1.0,14.0,0.3235
8,1.0,14.1,0.3233
8,1.0,14.5,0.3235
8,1.0,14.4,0.3232
8,1.0,14.4,0.3232
8,1.0,15.1,0.3234
8,1.0,15.5,0.3234
8,1.0,16.0,0.3234
8,1.0,16.5,0.3235
8,1.0,16.9,0.3236
8,1.0,17.4,0.3238
8,1.0,17.9,0.3239
8,1.0,18.4,0.324
8,1.0,18.9,0.324
8,1.0,19.3,0.3242
8,1.0,19.8,0.3245
8,1.0,20.3,0.3247
8,1.0,20.8,0.3247
8,1.0,21.3,0.3249
8,1.0,21.8,0.3251
8,1.0,22.2,0.3254
8,1.0,22.8,0.3257
8,1.0,23.3,0.3259
8,1.0,23.7,0.3262
8,1.0,24.2,0.3265
8,1.0,24.7,0.3268
8,1.0,25.2,0.3271
8,1.0,25.6,0.3273
8,1.0,26.0,0.3278
8,1.0,26.5,0.3282
8,1.0,27.0,0.3285
8,1.0,27.3,0.329
8,1.0,27.9,0.3296
8,1.0,28.4,0.3302
8,1.0,28.9,0.3305
8,1.0,29.3,0.3313
8,1.0,29.8,0.332
8,1.0,30.3,0.3328
8,1.0,30.8,0.3335
8,1.0,31.3,0.3342
8,1.0,31.7,0.3352
8,1.0,32.3,0.3361
8,1.0,32.7,0.337
8,1.0,33.3,0.338
8,1.0,33.7,0.339
8,1.0,34.2,0.3401
8,1.0,34.7,0.3413
8,1.0,35.2,0.3427
8,1.0,35.7,0.3441
8,1.0,36.2,0.3454
8,1.0,36.7,0.3467
8,1.0,37.2,0.348
8,1.0,37.6,0.3496
8,1.0,38.1,0.3513
8,1.0,38.6,0.3528
